Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
A Head Full of Ghosts,Paul Tremblay,https://www.goodbooks.io/books/a-head-full-of-ghosts,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e899fc0bebe7d9df90395f3_a-head-full-of-ghosts.jpeg,https://www.amazon.com/dp/0062363247/,https://books.apple.com/us/book/a-head-full-of-ghosts/id910187076?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_head_full_of_ghosts&ls=1
A Heartbreaking Work of Staggering Genius,Dave Eggers,https://www.goodbooks.io/books/a-heartbreaking-work-of-staggering-genius,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836d2c8f587af2f628eda_a-heartbreaking-work-of-staggering-genius.jpeg,https://www.amazon.com/dp/0375725784,https://books.apple.com/us/book/a-heartbreaking-work-of-staggering-genius/id599776584?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Higher Loyalty,James Comey,https://www.goodbooks.io/books/a-higher-loyalty,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836d407af5b57ee2bdbfb_a-higher-loyalty.jpeg,https://www.amazon.com/dp/1250192455,https://books.apple.com/us/book/a-higher-loyalty/id1267085318?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A History of Civilizations,Fernand Braudel,https://www.goodbooks.io/books/a-history-of-civilizations,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836d5fa505672a60645ed_a-history-of-civilizations.jpeg,https://www.amazon.com/dp/0140124896,
A History of Economic Theory,Jurg Niehans,https://www.goodbooks.io/books/a-history-of-economic-theory,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836d6fa5056cb130645ef_a-history-of-economic-theory.jpeg,https://www.amazon.com/dp/0801849764,
A History of God,Karen Armstrong,https://www.goodbooks.io/books/a-history-of-god,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e832096363ac62bdbebaf05_a-history-of-god.jpeg,https://www.amazon.com/History-God-Quest-Judaism-Christianity/dp/0099273675/,https://books.apple.com/us/book/a-history-of-god/id450595283?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A History of Religious Ideas; Vol. 1,Mircea Eliade,https://www.goodbooks.io/books/a-history-of-religious-ideas-vol-1,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836d7c8f5872347628ee8_a-history-of-religious-ideas-vol-1.jpeg,https://www.amazon.com/dp/0226204014,https://books.apple.com/us/book/a-history-of-religious-ideas-volume-1/id1501478098?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A History of Religious Ideas; Vol. 2,Mircea Eliade,https://www.goodbooks.io/books/a-history-of-religious-ideas-vol-2,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836da07af5b5a372bdc39_a-history-of-religious-ideas-vol-2.jpeg,https://www.amazon.com/dp/0226204030,https://books.apple.com/us/book/history-of-religious-ideas-volume-2/id883407480?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A History of Religious Ideas; Vol. 3,Mircea Eliade,https://www.goodbooks.io/books/a-history-of-religious-ideas-vol-3,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836db58cc46f50fde8bf3_a-history-of-religious-ideas-vol-3.jpeg,https://www.amazon.com/dp/0226204057,https://books.apple.com/us/book/history-of-religious-ideas-volume-3/id883407504?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A History of Rome,Moses Hadas,https://www.goodbooks.io/books/a-history-of-rome,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836dc58cc46a092de8bf8_a-history-of-rome.jpeg,https://www.amazon.com/dp/B000IEDMB2,
